,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
0,1,Bitcoin,BTC,bitcoin,10594,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19559662.0,19559662.0,False,,1,,,,2023-12-03T12:10:00.000Z,39460.01432410972,15855464075.697865,2.3107,-0.15999107,1.82334516,4.79097395,15.42940007,43.26182884,52.50875019,771824542694.7445,52.0505,828660300806.3,,2023-12-03T12:10:00.000Z,,,,,,2023-12-03 17:42:09.751908
1,1027,Ethereum,ETH,ethereum,7947,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120234245.26881394,120234245.26881394,True,,2,,,,2023-12-03T12:10:00.000Z,2156.1060801475114,9783667298.181597,37.104,-0.43758616,2.6900115,3.49478296,20.72679028,31.04686731,32.14728647,259237787266.0369,17.482,259237787266.04,,2023-12-03T12:10:00.000Z,,,,,,2023-12-03 17:42:09.751908
2,825,Tether USDt,USDT,tether,67216,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,89596999295.46779,92609951832.05023,True,,3,,,,2023-12-03T12:09:00.000Z,1.0000780189255776,33292383667.585197,18.9841,-0.01772707,-0.02991048,-0.03917489,-0.00497435,0.00641853,0.05173842,89603989557.0878,6.0431,92617177160.99,,2023-12-03T12:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-12-03 17:42:09.751908
3,1839,BNB,BNB,bnb,1810,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151698368.3323574,151698368.3323574,False,,4,,,,2023-12-03T12:09:00.000Z,228.00289391932844,667131940.6321932,16.8101,-0.41236986,0.34828626,-2.40661075,0.37778627,7.25804961,6.71457855,34587666982.6177,2.3325,34587666982.62,,2023-12-03T12:09:00.000Z,,,,,,2023-12-03 17:42:09.751908
4,52,XRP,XRP,xrp,1162,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,53888571585.0,99988188647.0,False,,5,,,,2023-12-03T12:10:00.000Z,0.6266556047220426,907220583.7824018,31.3547,-0.19681602,2.13134891,-0.99001894,4.05194171,17.53254615,24.99489015,33769575414.205257,2.2775,62665560472.2,,2023-12-03T12:10:00.000Z,,,,,,2023-12-03 17:42:09.751908
5,5426,Solana,SOL,solana,557,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,424333585.1297557,564017962.6464269,True,,6,,,,2023-12-03T12:10:00.000Z,63.3893864832924,1459634582.4520476,15.2796,-0.36954687,2.0404415,9.76767954,62.71448146,169.43488444,224.11622022,26898245625.631138,1.814,35752752617.71,,2023-12-03T12:10:00.000Z,,,,,,2023-12-03 17:42:09.751908
6,3408,USDC,USDC,usd-coin,15237,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,24522622803.562305,24522622803.562305,False,,7,,,,2023-12-03T12:09:00.000Z,0.9997158484234554,3726808043.1207223,4.5499,-0.01254029,-0.01746716,-0.01234042,-0.03300682,-0.02800415,-0.02499411,24515654661.631664,1.6533,24515654661.63,,2023-12-03T12:09:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-12-03 17:42:09.751908
7,2010,Cardano,ADA,cardano,989,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35307970959.965,36410042820.425,False,,8,,,,2023-12-03T12:09:00.000Z,0.3933995144512104,308729784.1799531,44.9235,-0.42891024,1.06782368,0.62844014,23.83896731,53.39670228,53.96320728,13890138631.907667,0.9368,17702978150.3,,2023-12-03T12:09:00.000Z,,,,,,2023-12-03 17:42:09.751908
8,74,Dogecoin,DOGE,dogecoin,836,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,142080656383.70523,142080656383.70523,True,,9,,,,2023-12-03T12:10:00.000Z,0.08477441495250415,549272936.196594,48.5011,-0.28339077,1.03350269,8.93517534,26.40193329,38.80157896,34.26814917,12044804520.996386,0.8123,12044804521.0,,2023-12-03T12:10:00.000Z,,,,,,2023-12-03 17:42:09.751908
9,1958,TRON,TRX,tron,882,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88522077487.95638,88522119635.4479,True,,10,71659659264.0,7402486997.268594,,2023-12-03T12:09:00.000Z,0.1033006167388716,188913180.7319131,4.6147,-0.07123816,0.36251572,-4.50203606,5.73662251,16.31893974,34.44301382,9144385199.512075,0.6167,9144389553.37,,2023-12-03T12:09:00.000Z,,,,,,2023-12-03 17:42:09.751908
